5,this is my first galaxy after being apple fanboy for years this is pretty much perfect phone it feels compact for having such big screen camera is great it has good battery
,
2,phone it self is really nice has some really nice features loved iris scanner battery seemed to last nice amount for me but within first day of having it it would randomly restart it would happen about 6-10 times day got it swapped out with new phone it did same thing after taking it to samsung in local best buy they could not find anything wrong so they flashed it he did say that in his system he saw that there were many reports of it but no solution yet this seems to be common problem even though it not being widely reported on do search for galaxy s8 restarting it going on weeks since release no comment from samsung see samsung community boards people are calling samsung they are still telling them ve never heard of this ended up returning mine before days
,
5,galaxy s8 is fantastic phone it has powerful processor expandable memory is durable against elements only have to minor complaints about phone it super slippery phone is made completely of glass there is no plastic backing grip surface anywhere on phone so be prepared to buy necessary case just so you can hold onto phone bixby button bixby is most useless personal assistant application among all phones you will find yourself meaning to hit power button but wind up pressing bixby button which is right across from power button on accident which starts bixby app while you can turn off access to bixby app when you swipe right on phone app will always start when you click hardwired bixby button there is no way to disable this button functionality in phone best solution ve come up with is to buy case pop out case button that corresponds with bixby button so you cannot physically press it with bixby now out of my life my experience with phone is phenomenal highly recommend phone
,
5,apple guy multiple ipads imacs macbooks but ve never really warmed up to iphone despite all my family having one as well as having my own from work quite honestly longtime blackberry holdout but lack of apps finally got to me almost waited for new keyone but bought this instead am so glad did this phone is truly amazing
,
5,love this phone phone itself is so beautiful screen is even better it feels like holding future upgraded from galaxy s6 thought would really miss physical home button but pressure sensitive home button on s8 is awesome don mind placement of fingerprint scanner can still reach it easily on back great front facing camera also phone comes with micro usb to usb adaptor so don even need to buy new car charger
,
5,am very happy with new s8 it has been very easy to use hold would not go without case at all get screen protector protection plan asap
,
5,this phone is absolutely amazing looks good processes fast uses less battery life than it predecessor
,
5,awesome phone what else is there to say absolutely beautiful design stunning display packed with plenty of storage for most enough power to do anything you reasonably want phone to do
,
5,best phone ever very easy to use with every app gadjet available pictures video are awesome recently used it camping where there was no tv reception to watch netflix amazon youtube paired with screenbeam mini you can stream without wifi connection
,
3,overall phone is ok however it seems to activate apps on it own when it is in my pocket it pocket dials lot even though have locked it before putting it in my pocket touchscreen on bottom instead of home button is bit of hassle know phone has many new features but battery life is disappointing if you have any real significant use
,
4,it great phone just wish they wld do away with curved edge of phone because it seems pointless also makes it difficult to use good screen protectors phone cases
,
4,wireless earphones do not work well while jogging cannot listen to audio because it breaks up
,
5,this is first time owning another phone that wasn iphone picked galaxy s8 because it had ear phone jack in addition to charging jack that apple removed from their newest phones at first it was hard to transition from iphone now having best camera ever with galaxy s8 now finding can post faster to facebook with one button options that iphone can compete with can add memory without having to rent cloud did say can add lots of memory that holds every photo apple never allows you to add memory with sd card apple always upgraded until your phone would not work anymore some due to memory issues not any more with galaxy s8
,
4,learning curve from being iphone user is little difficult otherwise it excellent phone
,
5,im very impressed this phone survived one cycle in washing machine
,
5,samsung hit another home run with s8 bixby is bomb
,
5,love it my new galaxy s8 gives plenty storage for my plus pics contacts this phone does everything but take ur blood sugar ill never go back to apple again appledivorce
,
5,former iphone only user dropped my iphone in river fishing last week now it just paper weight decided that someone like me active outdoors man should get phone that can handle elements galaxy s8 checked off all my needs waterproof rating is higher than iphone gorilla glass is stronger basically had dropped s8 in river last weekend would still have it not to mention it does almost everything better than iphone it has unbelievable display just sit watch 4k videos on youtube annoy my family showing them how amazing it is video camera is top notch too just love this phone bought uag case for it look it up now it even more dynomite will have this phone for long time
,
4,to many security loops it is lot more complex then my previous s5
,
4,phone is very good price was very good got it on sale at off plus got in trade for my old galaxy s5 very pleased with phone so far great design faster than my old phone plenty of storage battery is good there were couple of glitches some of my apps didn transfer from my old phone so had to download them again old phone voice mail didn get transferred to new phone had to spend quite bit of time with at to fix that also it still too time consuming too much paperwork to get new phone upgrade spent over two hours at best buy there should be way to streamline all that but it good product nice looking phone it got case screen protector those are little pricey for what they are but necessary would give phone four half stars if possible
,
3,phone is useful but it is not as agile as my s5 it is irritating that something that is made well is removed from market when upgrading occurs why not just update internals maintain already functional format curved screen is no big deal phone just another fad selling point my expectations are for amount of money spent want something strong functional don bother me me with foolish fads
,
2,realize have hard time changing phones however this one is not user friendly had to turn off touch setting as phone is really sensitive swiping through screens frustrating battery drains very quickly definately not happy with this purchase have bit of time for first time in phone purchases am seriously thinking of returning it
,
5,so far am enjoying this phone very much it is quick easy to use have already learned how to customize it to my liking this might seem easy to you but for year old that is not smartphone savvy think doing good have not used camera much yet but pictures have taken look very good still have to try upload something to fb one of these days transferring everything from old phone to this one was quite easy also was fortunate enough to have people at bestbuy do it for me when bought it but all they did was hook up cables it pretty much did work for them would say use my phone less than most younger people so my battery seems to last good while would usually be at battery with my galaxy but with this galaxy s8 lowest have seen my battery go down to is so to me that is big difference have not had any issues with calling with this phone although my wife also has same phone sometimes people have trouble hearing her but we are not sure if it is her phone theirs overall am very pleased with this phone but let see how it does in next months so
,
3,its ok definitely better than tv speakers but was pretty disappointed with bass overall its ok but for that price think it could be lot better
,
3,nice phone cost is high keeps on scanning wifi channels that will ever use need to have forget network button could use hate seeing it scanning all time same with blue tooth
,
5,looks great feels great but mostly performs great
,
5,love it great phone good battery life not to big
,
5,wonderful phone great colors battery pretty good highly suggest
,
5,new galaxy s8 met all of my expectations great camera easy to use
,
5,big android person s8 is must beats iphone any day great pictures voice quality
,
5,customization feel are above anything else on market
,
3,this phone is beautiful slim you will love it when you saw it at first glimpse but os is kind disappointing if you install more apps you get higher chance of slow stack all kinds of problems battery drain out very quickly after using for few months now miss iphone
,
5,omg coolest phone ever awesome health features really enjoy taking pictures with it amazing camera enjoy also getting free beat buy points when write this review that at least needs to be freaking characters long in order for them to accept this as legit review hope this is enough
,
5,what great phone beautiful screen incredible pictures lots of memory you can add up to gb card if you want to sleek design with edge lighting phone is slick literally get protective cover to help keep you from dropping it
,
5,camera really is winner here in assignment for college our class had to record video my phone did things iphones couldn so we unanimously used samsung everyone was jealous
,
5,its been over 5yrs since got phone this one felt really nice fast too
,
4,able use this phone to do things need to access on this phone through apps
,
5,lots of great new features waterproof camera pictures are clear excellent quality phone easy to use
,
5,fast slim cool best samsung phone yet headphones that come with it are awesome
,
4,ve had this phone for few months now have found it very easy to use ve previously used lg also iphone like display on this better than both of those my one complaint though is how easily screen gets scratched recommend getting screen protector immediately let my husband talk me into waiting couple days in order to buy screen protector that was on sale online ended up with scratch on screen within couple hours of owning phone even though was very very careful still somehow got scratch that annoys me every time look at my phone
,
5,buy couple of this phones for my boys they really enjoyed
,
5,like it better than iphone better features more expandable
,
5,great phone beautiful screen very useful slim agile
,
5,am new to android for newbie am able to operate this phone with ease
,
5,had iphone before hated it samsung is best
,
5,super fast on multitasking excelent camera baterry duration is much better than ll expected
,
4,overall great phone with great camera easy to use for everyone
,
5,got this for my wife she loves it she had note so she wanted little smaller
,
3,phone works well slide up home back buttond take some getting used to
,
5,love color just need to get used to not having home botton they put good features samsung such good brand
,
5,my daughter loves this phone it has great camera highly recommend
,
5,camera on this phone is way better than iphone camera other features are very nice but camera sticks out as plus
,
5,stunning device ve had numerous cell phones this is buying far best
,
5,replaced my windows phone that had for so long due to it slipping out of my pocket from very high position ha man have been missing out for all these years difference between these two is crazy not big app user but still its crazy felt like just came out of middle ages granted never lived during middle ages did
,
5,this device has way more features benefits than iphone only thing that makes iphone better is camera
,
5,great phone for great price with cool pre order bonus
,
5,always love my samsung products this is no exception went from s7 appreciate all updates only thing don like is not being able to find tempered glass screen protector that fits well ve finally given up on it
,
4,phone is pretty cool it over heats when charging on wireless charger charged it as slept 12am-6am but cools instantly bixby sucks liked cortana when had my htc
,
5,used to have s7 which always heats up have to remove case charge it because of that cannot take phones when charged have to use head phones but s8 doesn heat up it has great camera loved it
,
5,bought this phone for my year old son he loves it more than any phone he had he had lots of phones it very lifeproof as he is very hard on his phones he also gamer he says this phone can handle any game that he puts on it
,
4,it nice phone with good features wish they wld do away with curved edge it seems pointless also makes it difficult to use good screen protectors phone cases
,
5,phone is fast responsive great camera pics good battery life
,
5,volume is excellent phone design is sleek slender fits well one hand for texting bixby is awesome to use
,
4,touch screen is sometimes hard to use do love canada speaker goes out though
,
4,it does job but there are lot of glitches such as text notification not working it freezes at times
,
5,decided to upgrade to s8 after battery on my s6 drained so much so often battery life on s8 only requires me to charge my phone once per day hi love it it definitely worth upgrading for that reason alone
,
5,have enjoyed quality of camera size of screen of my phone
,
4,pretty good phone coming from iphone romance ve had this phone for months struggling to find reason to stay pros camera resolution speed cons autocorrect poor battery life need to buy music
,
4,this is great phone would recommend this to world
,
4,have had my phone for months now absolutely love it upgraded from g5 haven had any regrets getting another samsung phone
,
5,before this had samsung galaxy s5 which loved would have kept it but it got smashed use it for same purpose as s5 camera is slightly better but don use all new features
,
4,replaced my galaxy for this galaxy 8s some features are nice it was easy to learn new navigation system curved edge means have to use plastic screen guard instead of glass one plastic screen guard needs more frequent cleaning from skin oils charging cable is shorter than on my galaxy s5 have dropped it times this week because of picking it up from charger cord is too short never dropped my galaxy s5 needs charging daily
,
3,samsung carrier locked phones are just worth year before they start getting slow would have preferred to buy unlocked phone instead of carrier locked but due to financing options with att had to stick with it just think twice before going for any samsung smartphones since they have tendency to slow down quickly carrier updates are generation old
,
5,screen is gorgeous battery is amazing this is dad one of best galaxy phones have ever owned
,
5,love this product even better got it for price that couldnt be beat
,
5,this phone has so many features picture quality is amazing
,
3,we got this phone for my boy friend he really doesn care for it he has been having alot of issues with his it might be just him not doing needed up dates like did for plus
,
5,works really well really happy with it will recommend it
,
2,actually returned this device after several days narrowness of phone was not appealing-visually in use
,
5,so far best cell phone ve ever had it is fast also looks very slick
,
5,this is probably one of top phones of best display on smartphone amazing camera super fast great design build quality would recommend to anyone
,
5,best cellphone ever made super fast picture quality is amazing
,
5,galaxy s8 is good phone for me love it in less word you get what you pay for
,
5,purchased this s8 to replace s5 that had started acting up glad we did this is so much better to do things on than other we loved camera on my old phone but this is way above that one of course now has front facing camera also extremely happy with purchse best buy people were great helping me switch phones setting new one up
,
