5,This is my first galaxy after being an apple fanboy for years. This is pretty much the perfect phone. It feels compact for having such a big screen. The camera is great and it has a good battery.
2,"The phone it'self is really nice, and has some really nice features, loved the iris scanner, the battery seemed to last a nice amount for me. But within the first day of having it, it would randomly restart, it would happen about 6-10 times a day. Got it swapped out with a new phone.... it did the same thing. After taking it to the Samsung in a local best buy they could not find anything wrong so they flashed it. He did say that in his system he saw that there were many reports of it, but no solution yet. This seems to be a common problem even though it's not being widely reported on. 

Do a search for Galaxy S8 restarting. It's going on 5 weeks since release and no comment from Samsung. See the samsung community boards. People are calling Samsung and they are still telling them 'I've never heard of this"" 

I ended up returning mine before the 14 days."
5,"The Galaxy S8 is a fantastic phone. It has a powerful processor, expandable memory, and is durable against the elements. I only have to minor complaints about the phone. 

1. It's super slippery. The phone is made completely of glass. There is no plastic backing or grip surface anywhere on the phone, so be prepared to buy a necessary case just so you can hold onto the phone.

2. The Bixby button. Bixby is the most useless personal assistant application among all phones. You will find yourself meaning to hit the power button, but wind up pressing the Bixby button (which is right across from the power button) on accident, which starts the Bixby app. While you can turn off access to the Bixby app when you swipe right on the phone, the app will always start when you click the hardwired Bixby button. There is no way to disable this button's functionality in the phone. The best solution I've come up with is to buy a case and pop out the case button that corresponds with the Bixby button so you cannot physically press it. With Bixby now 100% out of my life, the my experience with the phone is phenomenal! I highly recommend the phone!"
5,"I'm an apple guy (multiple iPads, imacs,macbooks), but I've never really warmed up to the iPhone despite all my family having one as well as having my own from work. Quite honestly I'm a longtime blackberry holdout, but the lack of apps finally got to me, almost waited for the new keyone, but bought this instead and am so glad I did. This phone is truly amazing!"
5,"I love this phone! The phone itself is so beautiful and the screen is even better! It feels like I'm holding the future. I upgraded from the galaxy s6 and thought I would really miss the physical home button, but the pressure sensitive home button on the s8 is awesome! I don't mind the placement of the fingerprint scanner, I can still reach it easily on the back. Great front facing camera! Also, the phone comes with a micro usb to usb c adaptor so I don't even need to buy a new car charger!!!"
5,I am very happy with the new s8. It has been very easy to use and hold. I would not go without a case at all and get a screen protector and protection plan asap.
5,"This phone is absolutely amazing. looks good, processes fast and uses less battery life than it's predecessor."
5,"Awesome phone, what else is there to say? Absolutely beautiful design and a stunning display. Packed with plenty of storage for most and enough power to do anything you'd reasonably want a phone to do."
5,"best phone ever,very easy to use with every app and gadjet available.pictures and video are awesome . recently used it camping where there was no tv reception to watch Netflix ,amazon and youtube,paired with screenbeam mini 2 you can stream without wifi connection ."
3,"Overall the phone is ok. However, it seems to activate apps on it's own when it is in my pocket. It pocket dials a lot even though I have locked it before putting it in my pocket. The touchscreen on the bottom instead of the home button is a bit of a hassle. I know the phone has many new features but the battery life is disappointing if you have any real significant use."
4,It's a great phone. Just wish they wld do away with the curved edge of the phone because it seems pointless. Also makes it difficult to use the good screen protectors and phone cases.
4,Wireless earphones do not work well while jogging. Cannot listen to audio because it breaks up
5,"This is the first time owning another phone that wasn't an iPhone. I picked the Galaxy s8 because it had an ear phone jack in addition to a charging jack that Apple removed from their newest phones. At first it was hard to transition from an iPhone. Now having the best camera ever with the Galaxy s8 and now I'm finding I can post faster to Facebook with one button options that iPhone can't compete with. I can add memory without having to rent the cloud, did I say I can add lots of memory that holds every photo! Apple NEVER allows you to add memory with an SD card. Apple always upgraded until your phone would not work anymore, some due to memory issues, not any more with Galaxy s8."
4,The learning curve from being an iPhone user is a little difficult. Otherwise it's an excellent phone.
5,Im very impressed this phone survived one cycle in the washing machine.
5,Samsung hit another home run with the S8. Bixby is the bomb!
5,"Love it my new galaxy s8 gives plenty storage for my 1,000 plus pics and 10000 contacts this phone does everything but take ur blood sugar ill never go back to Apple again #appledivorce"
5,"Former iPhone only user. I dropped my iPhone 6 in the river fishing last week and now it's just a paper weight. I decided that someone like me (active outdoors man) should get a phone that can handle the elements. The galaxy S8 checked off all my needs. The waterproof rating is higher than iPhone and the gorilla glass is stronger. Basically, had I dropped the S8 in the river last weekend, I would still have it. Not to mention it does almost everything better than the iPhone. It has an unbelievable display. I just sit and watch 4K videos on YouTube and annoy my family showing them how amazing it is. The video camera is top notch too. I just love this phone. I bought a UAG case for it (look it up) and now it's even more dynomite. I will have this phone for a LONG time."
4,"To many security loops, it is a lot more complex then my previous s5."
4,"The phone is very good, the price was very good. Got it on sale at $200 off. Plus got $60 in trade for my old Galaxy S5. I'm very pleased with the phone so far. Great design, faster than my old phone, plenty of storage, battery is good. There were a couple of glitches. Some of my apps didn't transfer from my old phone so I had to download them again. And the old phone voice mail didn't get transferred to the new phone. Had to spend quite bit of time with AT&T to fix that. Also, it's still too time consuming and too much paperwork to get a new phone or upgrade. Spent over two hours at Best Buy. There should be a way to streamline all that. But it's a good product and a nice looking phone. It got a case and a screen protector; those are a little pricey for what they are, but necessary. I would give the phone four and a half stars if possible."
3,"The phone is useful but it is not as agile as my S5. It is irritating that something that is made well is removed from market when ""upgrading"" occurs. Why not just update the internals and maintain an already functional format. The curved screen is no big deal the phone just another fad selling point. My expectations are, for the amount of money spent, I want something strong and functional. Don't bother me me with foolish fads."
2,"I realize I have a hard time changing phones however this one is not user friendly. Had to turn off the touch setting as the phone is really sensitive. Swiping through screens frustrating. And......... the battery drains very quickly. Definately not happy with this purchase. I have a bit of time and for the first time in phone purchases, am seriously thinking of returning it!"
5,"So far I am enjoying this phone very much!. It is quick, easy to use and I have already learned how to customize it to my liking. This might seem easy to you, but for a 54 year old that is not smartphone savvy, I think I'm doing good! I have not used the camera much yet, but the pictures I have taken look very good. I still have to try and upload something to FB one of these days. 
 Transferring everything from the old phone to this one was quite easy also. I was fortunate enough to have the people at BestBuy do it for me when I bought it! but all they did was hook up the cables and it pretty much did the work for them.
 I would say I use my phone less than most younger people, so my battery seems to last a good while. I would usually be at 10% battery with my Galaxy 5, but with this Galaxy s8, the lowest I have seen my battery go down to is 55%, so to me, that is a big difference!
 I have not had any issues with calling with this phone, although my wife also has the same phone, and sometimes people have trouble hearing her...but we are not sure if it is her phone or theirs.
 Overall, I am very pleased with this phone, but let's see how it does in the next 6 months or so."
3,its ok definitely better than the tv speakers but i was pretty disappointed with the bass overall its ok but for that price i think it could be a lot better
3,"Nice phone cost is high. Keeps on scanning WiFi channels that I will ever use, need to have a forget network button i could use. I hate seeing it scanning all the time, The Same with blue tooth."
5,Looks great feels great but mostly performs great.
5,I love it great phone good battery life not to big.
5,"Wonderful phone, great colors, battery pretty good. Highly suggest."
5,The new Galaxy S8 met all of my expectations - great camera and easy to use.
5,I'm a big android person and the s8 is a must. Beats the iPhone any day. Great pictures and voice quality.
5,Customization and feel are above anything else on the market.
